Date,Value
"2023-02-24",7.25
"2023-02-23",7.25
"2023-02-22",7.25
"2023-02-21",7.25
"2023-02-20",7.25
"2023-02-17",7.25
"2023-02-16",7.25
"2023-02-15",7.25
"2023-02-14",7.25
"2023-02-13",7.25
"2023-02-10",7.25
"2023-02-09",7.25
"2023-02-08",7.25
"2023-02-07",7.25
"2023-02-06",7.25
"2023-02-03",7.25
"2023-02-02",7.25
"2023-02-01",7.25
"2023-01-31",7.25
"2023-01-30",7.25
"2023-01-27",7.25
"2023-01-26",7.00
"2023-01-25",7.00
"2023-01-24",7.00
"2023-01-23",7.00
"2023-01-20",7.00
"2023-01-19",7.00
"2023-01-18",7.00
"2023-01-17",7.00
"2023-01-16",7.00
"2023-01-13",7.00
"2023-01-12",7.00
"2023-01-11",7.00
"2023-01-10",7.00
"2023-01-09",7.00
"2023-01-06",7.00
"2023-01-05",7.00
"2023-01-04",7.00
"2023-01-03",7.00
"2022-12-30",7.00
"2022-12-29",7.00
"2022-12-28",7.00
"2022-12-23",7.00
"2022-12-22",7.00
"2022-12-21",7.00
"2022-12-20",7.00
"2022-12-19",7.00
"2022-12-15",7.00
"2022-12-14",7.00
"2022-12-13",7.00
"2022-12-12",7.00
"2022-12-09",7.00
"2022-12-08",7.00
"2022-12-07",7.00
"2022-12-06",7.00
"2022-12-05",7.00
"2022-12-02",7.00
"2022-12-01",7.00
"2022-11-30",7.00
"2022-11-29",7.00
"2022-11-28",7.00
"2022-11-25",7.00
"2022-11-24",6.25
"2022-11-23",6.25
"2022-11-22",6.25
"2022-11-21",6.25
"2022-11-18",6.25
"2022-11-17",6.25
"2022-11-16",6.25
"2022-11-15",6.25
"2022-11-14",6.25
"2022-11-11",6.25
"2022-11-10",6.25
"2022-11-09",6.25
"2022-11-08",6.25
"2022-11-07",6.25
"2022-11-04",6.25
"2022-11-03",6.25
"2022-11-02",6.25
"2022-11-01",6.25
"2022-10-31",6.25
"2022-10-28",6.25
"2022-10-27",6.25
"2022-10-26",6.25
"2022-10-25",6.25
"2022-10-24",6.25
"2022-10-21",6.25
"2022-10-20",6.25
"2022-10-19",6.25
"2022-10-18",6.25
"2022-10-17",6.25
"2022-10-14",6.25
"2022-10-13",6.25
"2022-10-12",6.25
"2022-10-11",6.25
"2022-10-10",6.25
"2022-10-07",6.25
"2022-10-06",6.25
"2022-10-05",6.25
"2022-10-04",6.25
"2022-10-03",6.25
"2022-09-30",6.25
"2022-09-29",6.25
"2022-09-28",6.25
"2022-09-27",6.25
"2022-09-26",6.25
"2022-09-23",6.25
"2022-09-22",5.50
"2022-09-21",5.50
"2022-09-20",5.50
"2022-09-19",5.50
"2022-09-16",5.50
"2022-09-15",5.50
"2022-09-14",5.50
"2022-09-13",5.50
"2022-09-12",5.50
"2022-09-09",5.50
"2022-09-08",5.50
"2022-09-07",5.50
"2022-09-06",5.50
"2022-09-05",5.50
"2022-09-02",5.50
"2022-09-01",5.50
"2022-08-31",5.50
"2022-08-30",5.50
"2022-08-29",5.50
"2022-08-26",5.50
"2022-08-25",5.50
"2022-08-24",5.50
"2022-08-23",5.50
"2022-08-22",5.50
"2022-08-19",5.50
"2022-08-18",5.50
"2022-08-17",5.50
"2022-08-16",5.50
"2022-08-15",5.50
"2022-08-12",5.50
"2022-08-11",5.50
"2022-08-10",5.50
"2022-08-08",5.50
"2022-08-05",5.50
"2022-08-04",5.50
"2022-08-03",5.50
"2022-08-02",5.50
"2022-08-01",5.50
"2022-07-29",5.50
"2022-07-28",5.50
"2022-07-27",5.50
"2022-07-26",5.50
"2022-07-25",5.50
"2022-07-22",5.50
"2022-07-21",4.75
"2022-07-20",4.75
"2022-07-19",4.75
"2022-07-18",4.75
"2022-07-15",4.75
"2022-07-14",4.75
"2022-07-13",4.75
"2022-07-12",4.75
"2022-07-11",4.75
"2022-07-08",4.75
"2022-07-07",4.75
"2022-07-06",4.75
"2022-07-05",4.75
"2022-07-04",4.75
"2022-07-01",4.75
"2022-06-30",4.75
"2022-06-29",4.75
"2022-06-28",4.75
"2022-06-27",4.75
"2022-06-24",4.75
"2022-06-23",4.75
"2022-06-22",4.75
"2022-06-21",4.75
"2022-06-20",4.75
"2022-06-17",4.75
"2022-06-15",4.75
"2022-06-14",4.75
"2022-06-13",4.75
"2022-06-10",4.75
"2022-06-09",4.75
"2022-06-08",4.75
"2022-06-07",4.75
"2022-06-06",4.75
"2022-06-03",4.75
"2022-06-02",4.75
"2022-06-01",4.75
"2022-05-31",4.75
"2022-05-30",4.75
"2022-05-27",4.75
"2022-05-26",4.75
"2022-05-25",4.75
"2022-05-24",4.75
"2022-05-23",4.75
"2022-05-20",4.75
"2022-05-19",4.25
"2022-05-18",4.25
"2022-05-17",4.25
"2022-05-16",4.25
"2022-05-13",4.25
"2022-05-12",4.25
"2022-05-11",4.25
"2022-05-10",4.25
"2022-05-09",4.25
"2022-05-06",4.25
"2022-05-05",4.25
"2022-05-04",4.25
"2022-05-03",4.25
"2022-04-29",4.25
"2022-04-28",4.25
"2022-04-26",4.25
"2022-04-25",4.25
"2022-04-22",4.25
"2022-04-21",4.25
"2022-04-20",4.25
"2022-04-19",4.25
"2022-04-14",4.25
"2022-04-13",4.25
"2022-04-12",4.25
"2022-04-11",4.25
"2022-04-08",4.25
"2022-04-07",4.25
"2022-04-06",4.25
"2022-04-05",4.25
"2022-04-04",4.25
"2022-04-01",4.25
"2022-03-31",4.25
"2022-03-30",4.25
"2022-03-29",4.25
"2022-03-28",4.25
"2022-03-25",4.25
"2022-03-24",4.00
"2022-03-23",4.00
"2022-03-22",4.00
"2022-03-18",4.00
"2022-03-17",4.00
"2022-03-16",4.00
"2022-03-15",4.00
"2022-03-14",4.00
"2022-03-11",4.00
"2022-03-10",4.00
"2022-03-09",4.00
"2022-03-08",4.00
"2022-03-07",4.00
"2022-03-04",4.00
"2022-03-03",4.00
"2022-03-02",4.00
"2022-03-01",4.00
"2022-02-28",4.00
"2022-02-25",4.00
"2022-02-24",4.00
"2022-02-23",4.00
"2022-02-22",4.00
"2022-02-21",4.00
"2022-02-18",4.00
"2022-02-17",4.00
"2022-02-16",4.00
"2022-02-15",4.00
"2022-02-14",4.00
"2022-02-11",4.00
"2022-02-10",4.00
"2022-02-09",4.00
"2022-02-08",4.00
"2022-02-07",4.00
"2022-02-04",4.00
"2022-02-03",4.00
"2022-02-02",4.00
"2022-02-01",4.00
"2022-01-31",4.00
"2022-01-28",4.00
"2022-01-27",3.75
"2022-01-26",3.75
"2022-01-25",3.75
"2022-01-24",3.75
"2022-01-21",3.75
"2022-01-20",3.75
"2022-01-19",3.75
"2022-01-18",3.75
"2022-01-17",3.75
"2022-01-14",3.75
"2022-01-13",3.75
"2022-01-12",3.75
"2022-01-11",3.75
"2022-01-10",3.75
"2022-01-07",3.75
"2022-01-06",3.75
"2022-01-05",3.75
"2022-01-04",3.75
"2022-01-03",3.75
